id,chain_order,margin_m,names,changes,run_lengths_m,min_run_m,start_m,end_m,length_m,chord_m,ratio,max_offset_m
466,92,100,AUDUBON PARKWAY > NORTHWAY STREET,1,100.000 > 100.000,99.99999999999994,390.8036656493546,590.8036656493546,200.00000000002728,160.03543222994236,1.2497232469910975,53.13568671329679
467,93,25,GAGE COURT > BURT STREET,1,25.000 > 25.000,25.0,38.38410756684526,88.38410756684526,50.00000000022803,48.48352699150667,1.031278108314748,4.60240256829642
468,93,50,GAGE COURT > BURT STREET,1,50.000 > 50.000,50.0,13.384107566845259,113.38410756684526,100.00000000039637,92.7952630918999,1.0776412143081189,17.052074765980024
469,94,25,ONONDAGA CREEK BOULEVARD EAST > VALE STREET,1,25.000 > 25.000,25.0,704.3552519500832,754.3552519500832,50.000000000434206,47.7665227862213,1.0467582123197205,7.172014801919065
470,94,50,ONONDAGA CREEK BOULEVARD EAST > VALE STREET,1,50.000 > 50.000,50.0,679.3552519500832,779.3552519500832,99.99999999989046,94.39983816973348,1.0593238498999091,16.256722239297762
471,94,100,ONONDAGA CREEK BOULEVARD EAST > VALE STREET,1,100.000 > 100.000,100.0,629.3552519500832,829.3552519500832,199.99999999965382,187.83413101265793,1.0647692137813656,34.110222798469394
472,95,25,OAKLEY DRIVE EAST > SPAULDING AVENUE,1,25.000 > 25.000,25.0,592.3141574137896,642.3141574137896,49.99999999999499,49.999745677983334,1.0000050864661052,0.07973728187879701
473,95,50,OAKLEY DRIVE EAST > SPAULDING AVENUE,1,50.000 > 50.000,50.0,567.3141574137896,667.3141574137896,100.00000000005798,99.99949135603468,1.000005086466105,0.15947456375759442
474,95,100,OAKLEY DRIVE EAST > SPAULDING AVENUE,1,100.000 > 100.000,100.0,517.3141574137896,717.3141574137896,199.9999999999898,199.9989827119432,1.000005086466105,0.31894912751412585
475,96,25,STINARD AVENUE > CHARMOUTH DRIVE,1,25.000 > 25.000,25.0,80.30026358788209,130.30026358788209,49.9999999995797,48.980950231635056,1.020805022424544,4.500805690926896
476,96,50,STINARD AVENUE > CHARMOUTH DRIVE,1,50.000 > 50.000,50.0,55.300263587882085,155.30026358788209,100.00000000046604,95.8893110056956,1.0428691055515695,13.130970022225487
477,96,100,STINARD AVENUE > CHARMOUTH DRIVE,1,100.000 > 100.000,100.0,5.300263587882085,205.30026358788209,199.99999999966133,177.41593956539222,1.127294427375535,40.72666819598983
478,97,25,ROBINSON STREET > SEDGWICK STREET,1,25.000 > 25.000,25.0,439.85032410511354,489.85032410511354,49.999999999719805,45.094548307828546,1.1087814797124746,9.986020358867346
479,97,50,ROBINSON STREET > SEDGWICK STREET,1,50.000 > 50.000,49.99999999999994,414.85032410511354,514.8503241051135,100.00000000015012,87.83695977857893,1.1384729190563063,23.27026086391898
480,97,100,ROBINSON STREET > SEDGWICK STREET,1,100.000 > 100.000,99.99999999999994,364.85032410511354,564.8503241051135,200.0000000003045,173.9474877508655,1.1497722823496737,48.860926587957486
481,98,25,ERIE BOULEVARD EAST > OSWEGO BOULEVARD,1,25.000 > 25.000,25.0,725.1412564262608,775.1412564262608,49.999999999772086,47.38876405703639,1.0551024276470442,6.952358704094576
482,98,50,ERIE BOULEVARD EAST > OSWEGO BOULEVARD,1,50.000 > 50.000,50.0,700.1412564262608,800.1412564262608,100.00000000012982,92.58050665124014,1.0801409888243498,17.641263883580052
483,99,25,SUNRISE DRIVE > SNELL TERRACE,1,25.000 > 25.000,25.0,728.6974709199579,778.6974709199579,50.000000000794614,49.99281196715211,1.0001437813429506,0.4238961241961799
484,99,50,SUNRISE DRIVE > SNELL TERRACE,1,50.000 > 50.000,50.0,703.6974709199579,803.6974709199579,99.99999999972661,99.98562393244231,1.0001437813429461,0.847792248363334
485,100,25,CAMP AVENUE > BARNES AVENUE,1,25.000 > 25.000,25.0,267.3039986552375,317.3039986552375,50.00000000027669,44.51786780179504,1.1231445365463033,8.791971504047643
486,100,50,CAMP AVENUE > BARNES AVENUE,1,50.000 > 50.000,50.0,242.30399865523748,342.3039986552375,99.99999999955863,80.2635124103464,1.2458961363204446,27.318103334923965
487,100,100,CAMP AVENUE > BARNES AVENUE,1,100.000 > 100.000,100.0,192.30399865523748,392.3039986552375,199.9999999999798,154.6148925532287,1.2935364549771717,61.499172916509295
488,101,25,DARLINGTON ROAD > DARLINGTON ROAD EAST,1,25.000 > 25.000,25.0,710.4915879897503,760.4915879897503,50.00000000005488,49.99916332797686,1.0000167337215733,0.14462581700902755
489,101,50,DARLINGTON ROAD > DARLINGTON ROAD EAST,1,50.000 > 50.000,50.0,685.4915879897503,785.4915879897503,100.00000000011082,99.99832665595372,1.0000167337215837,0.28925163411001503
490,102,25,BUTTERNUT STREET > KUHL AVENUE,1,25.000 > 25.000,25.0,493.22522821221753,543.2252282122175,49.99999999991313,47.85928572462167,1.0447293402498514,6.382004413759298
491,102,50,BUTTERNUT STREET > KUHL AVENUE,1,50.000 > 50.000,50.0,468.22522821221753,568.2252282122175,99.99999999941835,94.39128599222668,1.059419828305481,15.846569962791328
492,102,100,BUTTERNUT STREET > KUHL AVENUE,1,100.000 > 100.000,100.0,418.22522821221753,618.2252282122175,200.00000000043016,187.65621489617934,1.0657787172733928,34.05028767906124
493,103,25,HIAWATHA PLACE > WILLUMAE DRIVE,1,25.000 > 25.000,25.0,60.16736177015528,110.16736177015528,50.000000000080476,49.98184617642418,1.0003632083455305,0.6736194779544681
494,103,50,HIAWATHA PLACE > WILLUMAE DRIVE,1,50.000 > 50.000,50.0,35.16736177015528,135.16736177015528,100.00000000004451,97.06833549026011,1.030202068418888,6.867681926283071
495,104,25,EAST BRIGHTON AVENUE > EAST SENECA TURNPIKE,1,25.000 > 25.000,25.0,326.7274547187394,376.7274547187394,49.99999999951889,49.998408574121534,1.0000318295210335,0.19946178023627698
496,104,50,EAST BRIGHTON AVENUE > EAST SENECA TURNPIKE,1,50.000 > 50.000,50.0,301.7274547187394,401.7274547187394,99.99999999983936,99.99189131418036,1.0000810934322015,0.44767069892070893
497,104,100,EAST BRIGHTON AVENUE > EAST SENECA TURNPIKE,1,100.000 > 100.000,100.0,251.7274547187394,451.7274547187394,199.99999999992335,199.76421094707223,1.0011803368167564,3.844141080139054
498,105,25,BALLARD AVENUE > FURMAN STREET,1,25.000 > 25.000,25.0,105.01339047735092,155.01339047735092,49.99999999981822,41.33960290533452,1.2094939594440601,12.786579091506232
499,105,50,BALLARD AVENUE > FURMAN STREET,1,50.000 > 50.000,50.0,80.01339047735092,180.01339047735092,100.00000000048583,75.69303789101495,1.3211254665781647,31.168332293911533
500,105,100,BALLARD AVENUE > FURMAN STREET,1,100.000 > 100.000,100.0,30.013390477350924,230.01339047735092,200.00000000023834,145.64265678838404,1.3732240568148553,67.18516409793186
501,106,25,BERNIE BLAKE DRIVE > LOOMIS AVENUE,1,25.000 > 25.000,25.0,111.3205322070992,161.3205322070992,49.999999999774396,49.96762097742068,1.0006480000792584,0.7878051710035793
502,106,50,BERNIE BLAKE DRIVE > LOOMIS AVENUE,1,50.000 > 50.000,50.0,86.3205322070992,186.3205322070992,100.00000000004881,99.6981843691565,1.0030272931528499,3.2754379601590133
503,106,100,BERNIE BLAKE DRIVE > LOOMIS AVENUE,1,100.000 > 100.000,100.0,36.320532207099205,236.3205322070992,199.99999999975552,186.71822600583778,1.0711327130619936,16.47429751377349
504,107,25,CORAL AVENUE > ATLANTIC AVENUE,1,25.000 > 25.000,25.0,166.7059510731056,216.7059510731056,49.999999999920334,46.33832625310328,1.0790204144797273,7.620970683120424
505,107,50,CORAL AVENUE > ATLANTIC AVENUE,1,50.000 > 50.000,50.0,141.7059510731056,241.7059510731056,100.00000000025784,87.64014829678875,1.1410295617211088,22.378096264711296
506,107,100,CORAL AVENUE > ATLANTIC AVENUE,1,100.000 > 100.000,100.0,91.70595107310561,291.7059510731056,200.0000000000075,171.07406876340283,1.16908425365512,50.33197653084542
507,108,25,HOWARD STREET > GERTRUDE STREET,1,25.000 > 25.000,25.0,96.63196291134861,146.6319629113486,50.00000000027296,46.86307251440686,1.066938152313887,6.591158254801317
508,108,50,HOWARD STREET > GERTRUDE STREET,1,50.000 > 50.000,50.0,71.63196291134861,171.6319629113486,99.99999999978662,89.8237165494733,1.1132917211759814,19.947528100279953
509,108,100,HOWARD STREET > GERTRUDE STREET,1,100.000 > 100.000,100.0,21.63196291134861,221.6319629113486,199.9999999997341,177.54233785988302,1.1264918689849333,44.59898598303089
510,109,25,EAST MATSON AVENUE > WEST MATSON AVENUE,1,25.000 > 25.000,25.0,163.81675531334506,213.81675531334506,50.000000000035485,49.77762599917666,1.0044673484601798,1.2124909185335961
511,109,50,EAST MATSON AVENUE > WEST MATSON AVENUE,1,50.000 > 50.000,50.0,138.81675531334506,238.81675531334506,100.00000000000611,99.73366316112015,1.0026704808631735,1.4655966599713934
512,109,100,EAST MATSON AVENUE > WEST MATSON AVENUE,1,100.000 > 100.000,100.0,88.81675531334506,288.8167553133451,199.9999999999801,199.71128917684112,1.0014456409766768,1.7240886331145486
513,110,25,ELMWOOD AVENUE > EDGEWOOD AVENUE,1,25.000 > 25.000,25.0,311.1052901822355,361.1052901822355,50.000000000012434,43.798740166212134,1.1415853472101503,10.99260366529366
514,110,50,ELMWOOD AVENUE > EDGEWOOD AVENUE,1,50.000 > 50.000,50.0,286.1052901822355,386.1052901822355,100.000000000259,84.70015232806797,1.1806354209722119,25.53906355094366
515,110,100,ELMWOOD AVENUE > EDGEWOOD AVENUE,1,100.000 > 100.000,100.0,236.10529018223548,436.1052901822355,200.00000000015288,164.311832716611,1.2171977921096733,55.699506388170754
516,111,25,RIEGEL STREET > GREENWAY AVENUE,1,25.000 > 25.000,25.0,385.13749529142865,435.13749529142865,50.000000000374456,41.33316973125364,1.2096822074249844,12.05156311074083
517,111,50,RIEGEL STREET > GREENWAY AVENUE,1,50.000 > 50.000,50.0,360.13749529142865,460.13749529142865,100.00000000057187,72.69926991513113,1.3755296321037547,31.372550755747373
