order,changes,miles,names,max_join_angle
164,1,0.08559376143031491,MULBERRY TERRACE > DANFORTH TERRACE,22.118873899909083
165,1,0.03427865094614057,EAST GLEN AVENUE > LORETTO ROUNDABOUT,14.072307849255653
166,1,0.025711107283604345,EAST GLEN AVENUE > LORETTO ROUNDABOUT,3.9895149544416975
167,0,3.249051624012568,BURNET AVENUE,4.142960497284373
168,0,3.2121926052158356,ERIE BOULEVARD EAST,22.122262819574658
169,0,2.703039107847803,EAST GENESEE STREET,6.433998920330812
170,0,2.310664671124884,MIDLAND AVENUE,11.264721277495621
171,0,2.165268395775975,COMSTOCK AVENUE,0.9760869529984082
172,0,2.1048301896110955,ERIE BOULEVARD EAST,3.3269634963443018
173,0,2.094539496961295,BELLEVUE AVENUE,4.293480563611418
174,0,1.8133843487777794,MEADOWBROOK DRIVE,15.610309844926729
175,0,1.6588466498166619,LODI STREET,21.842872790404375
176,0,1.60019211563829,MEADOWBROOK DRIVE,24.037333932299234
177,0,1.5044904531798926,GRANT BOULEVARD,14.10901429695435
178,0,1.435352702302498,OAK STREET,12.190412935253601
179,0,1.4155101807538428,JAMESVILLE AVENUE,9.41913526075208
180,0,1.2508121508682877,CARBON STREET,1.6869019954084992
181,0,1.2474797503478847,VAN RENSSELAER STREET,7.1222632454763515
182,0,1.196344909681386,WADSWORTH STREET,23.754481670633048
183,0,1.1834313994362535,HARRISON STREET,8.116542194505994
184,0,1.164301033748243,CALEB AVENUE,6.908901386714886
185,0,1.0906591737354243,EUCLID AVENUE,15.646729631675578
186,0,1.0771103109418907,NORTH STATE STREET,6.776604601613143
187,0,1.071929407684787,STOLP AVENUE,12.934871971137946
188,0,1.0440724739540441,PARK STREET,1.5086057355967173
189,0,1.0308195786560579,WOLF STREET,1.0886211854604364
190,0,1.0243656412901292,FELLOWS AVENUE,1.1058483642611656
191,0,1.022411887835915,TURTLE STREET,3.0011144352906625
192,0,0.9854897419134129,GRAND AVENUE,6.976683559749216
193,0,0.9556349041513758,THOMPSON ROAD,7.0577696460423205
194,0,0.9522681425357741,LAFAYETTE ROAD,7.750716847813271
195,0,0.9361887284351983,GENANT DRIVE,29.395826805640088
196,0,0.9204466570691124,KIRKPATRICK STREET,1.5862889717460849
197,0,0.9145126837072264,GIFFORD STREET,6.533060212464595
198,0,0.9133305750555496,COURT STREET,5.718839506406841
199,0,0.8804356655392926,PARK STREET,12.357989038614038
200,0,0.8715145537507571,IRVING AVENUE,3.1172308434451677
201,0,0.8495961999596597,DEWITT STREET,8.979145626234581
202,0,0.8330635179156166,MADISON STREET,1.5574109260312354
203,0,0.8276943821859811,WEST STREET ARTERIAL NORTHBOUND,7.1500530438048235
204,0,0.8276798430899707,HIGHLAND STREET,7.676451632602675
205,0,0.8269264264299998,SPRING STREET,1.6723158915677219
206,0,0.8260005444294174,KIRK PARK DRIVE,11.581174977682174
207,0,0.8203554832218967,CANAL STREET,1.2947249504466807
208,0,0.8156440225510098,HICKOK AVENUE,0.9912642499161666
209,0,0.8111373008490133,WILLIS AVENUE,28.251907139189292
210,0,0.8028560752673805,STAFFORD AVENUE,0.35846951490638035
211,0,0.7912872824498802,NORTH CLINTON STREET,9.721722245851717
212,0,0.781495884468078,ALLEN STREET,0.3365613752415393
213,0,0.7767388220052979,WOODBINE AVENUE,1.127945942677728
214,0,0.7654401191943823,EAST WILLOW STREET,13.713007661334757
215,0,0.7636530136680767,HILLSDALE AVENUE,1.3641370439202032
216,0,0.760336251495507,DANFORTH STREET,2.9627193992561547
217,0,0.7526357837190147,NORTHCLIFFE ROAD,8.786187039419893
218,0,0.7482632897394172,SOUTH COLLINGWOOD AVENUE,1.127624156079376
219,0,0.7440462352979559,BUCKINGHAM AVENUE,1.8177917542521767
220,0,0.7440451913296169,NICHOLS AVENUE,1.4370858695084276
221,0,0.7439901478823059,GLENCOVE ROAD,2.5094359347859174
222,0,0.7357294833694249,SHONNARD STREET,0.3154923681715559
223,0,0.7336815966861763,SOUTH EDWARDS AVENUE,0.6329159146413891
224,0,0.731964713766573,UNIVERSITY AVENUE,0.5379494740225595
225,0,0.7296110222794514,WALNUT AVENUE,0.6715531882242904
226,0,0.7190073613949636,ONONDAGA CREEK BOULEVARD,11.944065260618736
227,0,0.7183432997155429,RUGBY ROAD,12.855974582167898
228,0,0.7156568473410305,GLENWOOD AVENUE,5.491218710791993
229,0,0.7095091210321223,GRANT BOULEVARD,5.915131460284874
230,0,0.7089309581546123,ROBINEAU ROAD,0.807949671969844
231,0,0.7032280322391141,BRADFORD PARKWAY,6.729045566860328
232,0,0.6981123663186957,LODI STREET,2.1839291905041196
233,0,0.69307608333142,STINARD AVENUE,3.810744471669759
234,0,0.688363405687725,WESTMORELAND AVENUE,1.1615738657763202
235,0,0.6843917598363205,HAWLEY AVENUE,3.1485326761673686
236,0,0.6824589135808287,DURSTON AVENUE,0.5085327264943005
237,0,0.6776585272865202,THURBER STREET,6.548694534839923
238,0,0.6708738977135968,MOSLEY DRIVE,1.6942230338220228
239,0,0.6635614891441242,HILLSBORO PARKWAY,26.9542502581208
240,0,0.6592471971867977,COLERIDGE AVENUE,8.27074800603962
241,0,0.6555143336811387,PLYMOUTH DRIVE,3.147113329141987
242,0,0.6532641214884131,CUMBERLAND AVENUE,1.3409478731656406
243,0,0.6516746917874137,SCOTT AVENUE,0.8877620345144824
244,0,0.6482840328328953,WEST OSTRANDER AVENUE,13.038935779461056
245,0,0.6447139236280821,KIMBER ROAD,6.7852917469090945
246,0,0.6434587051314783,OTISCO STREET,0.9574906604820702
247,0,0.6407338636312468,ULSTER STREET,13.54327727197768
248,0,0.6354384753695077,SECOND NORTH STREET,0.42833412497798706
249,0,0.6325571533864486,HELEN STREET,0.5092246738716086
250,0,0.6295043370959181,LEMOYNE AVENUE,8.596239322080288
251,0,0.6233655562084671,SCHUYLER STREET,1.547550186749488
252,0,0.6185298994511674,MARCELLUS STREET,1.6350298097203428
253,0,0.6138027392444672,BRYANT AVENUE,0.5066446050859605
254,0,0.6122401678284721,HAMILTON STREET,0.7604951729126643
255,0,0.6086911028247266,EAST DIVISION STREET,9.192315115823433
256,0,0.6010964187823671,WILKINSON STREET,1.2631039957969017
257,0,0.5980163471457872,ACKERMAN AVENUE,4.303626501163967
258,0,0.5943654551222681,KIRK AVENUE,19.231325545863765
259,0,0.5793702621187578,RICHMOND AVENUE,7.241065460328542
260,0,0.5781333410817269,MYRTLE STREET,9.140841688835488
261,0,0.5777576222482205,DORWIN AVENUE,0.9009652286063834
262,0,0.5777523341598504,FAYETTE BOULEVARD,26.974540387532922
263,0,0.5770376800691909,OAKWOOD AVENUE,2.9065125473299163
264,0,0.5757098034011949,LANCASTER AVENUE,1.3317760247825894
265,0,0.5711294054665396,TYSON PLACE,1.3838994137299492
266,0,0.5699319596346151,HAWLEY AVENUE,0.7536874989216407
267,0,0.5674526560318776,WENDELL TERRACE,15.766145739258096
268,0,0.5671762251028275,WILLIS AVENUE,1.3365564211424363
269,0,0.5632763630376627,LANCASTER AVENUE,1.2707406392860348
270,0,0.5458780396146363,LOCKWOOD ROAD,3.037333244432405
271,0,0.539773098381548,MERRIMAN AVENUE,1.2887470229601197
272,0,0.5389930328069678,NORTH LOWELL AVENUE,1.0579950451294031
273,0,0.5322968651518538,BEATTIE STREET,6.020745059511219
274,0,0.5300816070572166,WINKWORTH PARKWAY,27.974258142531266
275,0,0.528208887854277,WOLCOTT AVENUE,1.6032408906403401
276,0,0.5265779581649879,ROWLAND STREET,6.962485129589826
277,0,0.5229816784276184,PARK AVENUE,1.5594659482856787
278,0,0.5221508053234423,GREEN STREET,0.7572341354371213
279,0,0.5204448634803389,PARK STREET,0.39071467515676883
280,0,0.5162984309069216,CANNON STREET,4.214261529701747
281,0,0.50553623967095,JOHN STREET,2.11455343654061
282,0,0.5050552461728469,NORTH EDWARDS AVENUE,0.14608942527711777
283,0,0.5047434625582571,NORTH COLLINGWOOD AVENUE,1.1950520905966726
284,0,0.5040305399132186,ASHDALE AVENUE,0.9143614192366438
285,0,0.50336924690731,STANDISH DRIVE,2.7070308685902367
286,0,0.5028600086089566,LILLIAN AVENUE,5.325214458108699
287,0,0.5004398245037065,BRUCE STREET,6.709377004321162
288,0,0.49550726864727385,NORWOOD AVENUE,1.017987054405796
289,0,0.49403427676299205,DEWITT ROAD,6.802657329014525
290,0,0.49138328938500053,SOUTH MCBRIDE STREET,1.7533854729033245
291,0,0.4891275328930704,CLOVER RIDGE DRIVE,1.0304413961322427
292,0,0.48905169365434703,CADILLAC STREET,8.064448210385374
293,0,0.4870305915792829,LONGMEADOW DRIVE,23.25838210108745
294,0,0.4868201637000097,FOREST HILL DRIVE,29.42010320181651
295,0,0.4855068827499529,SEVENTH NORTH STREET,1.1586482742025361
296,0,0.4829971923126679,MIDLAND AVENUE,21.798049585722115
297,0,0.4828413883259604,BURNS AVENUE,2.078357523937256
298,0,0.48149678871685175,CROSSETT STREET,1.7416395881489253
299,0,0.4810496063513079,DOUGLAS STREET,0.22967766925271701
300,0,0.4786884839907568,HILLSBORO PARKWAY,6.568496071189325
301,0,0.47829942359570304,EAST TAYLOR STREET,3.5335178969997543
