name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
SCOTTHOLM TERRACE,45.61699042040626,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477439084,-76.1092502020052,43.03766118019109
NORTHCLIFFE ROAD,45.66215949719845,THOMPSON ROAD,THOMPSON ROAD,True,False,2,477430145;477430152,-76.09013796071635,43.06718973766155
FABIUS STREET,45.90098258554281,WEST STREET ARTERIAL NORTHBOUND,WEST STREET ARTERIAL SOUTHBOUND,True,True,1,477436788,-76.15836794921314,43.0447388823251
HARRINGTON ROAD,46.22604771075869,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477437905,-76.10213176462663,43.04152612563576
SEYMOUR STREET,46.360464286896075,WEST STREET ARTERIAL NORTHBOUND,WEST STREET ARTERIAL SOUTHBOUND,True,True,1,477437503,-76.15791281820324,43.04255906792314
CADWELL STREET,46.763848302378904,CADWELL PLACE,DEAD END / SAME-NAME BRANCH,False,True,1,800048351,-76.17550942805681,43.03711801573526
HURLBURT ROAD,46.85743778916492,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477437778,-76.10078985733374,43.04172111277676
OVERLOOK DRIVE,46.86781803979864,STOLP AVENUE,STOLP AVENUE,True,True,1,477441290,-76.18721220167392,43.029651067706304
GIFFORD STREET,47.122766628823506,WEST STREET ARTERIAL NORTHBOUND,WEST STREET ARTERIAL SOUTHBOUND,True,True,1,477437218,-76.1581051183051,43.04346031318649
SALT SPRINGS ROAD,47.27860729355086,CARLTON DRIVE,CARLTON DRIVE,True,True,1,477436034,-76.08904277442805,43.04752011646242
COURT STREET,47.389057550379,MALVERNE DRIVE,MALVERNE DRIVE,True,True,1,477427671,-76.14377979770067,43.07979613994296
DAKOTA STREET,47.71838682318557,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,800052286,-76.1115223131106,43.03273472499026
MENLO DRIVE,47.82420949756371,WALRATH ROAD,WALRATH ROAD,True,True,1,477444465,-76.1380377492845,43.011015104898625
BRADFORD PARKWAY,48.02098410152138,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477438165,-76.10626330037775,43.0405236397465
BRADFORD PARKWAY,48.02160244191878,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477438200,-76.10638649848904,43.040466552160716
EAST GENESEE STREET,48.43960169029838,SUNNYSIDE PARK ROAD,HILLSBORO PARKWAY;MEADOWBROOK DRIVE,True,True,1,477437348,-76.09334773934648,43.04290768454387
BUCKINGHAM AVENUE,48.55832671207545,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477442382,-76.12056023356642,43.024789086817314
HATHERLY ROAD,48.578001009339474,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477437953,-76.10337643041709,43.04133509421082
SHOTWELL PARK,48.620707206626825,MELROSE AVENUE,MELROSE AVENUE,True,True,1,800052398,-76.11548570712327,43.06460004308081
EUCLID AVENUE,48.97598305236118,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477439465,-76.11018610759893,43.036432375993
PLUM STREET,49.188631081262265,PARK AVENUE,PARK AVENUE,True,True,1,477434374,-76.16027829839535,43.05201464392882
CLAIRE ROAD,49.479787239963855,GIFFORD PARKWAY,GIFFORD PARKWAY,True,True,1,477437545,-76.08508718556327,43.04249385266991
SOUTH ALVORD STREET,49.62722265230732,BEECHER STREET,HIGHLAND STREET,True,True,1,477431732,-76.14140229392565,43.06029311645903
DEMONG DRIVE,49.76596145756564,DOLL PARKWAY,DOLL PARKWAY,True,True,1,506986289,-76.08744626953813,43.04405147506086
HANCOCK DRIVE,49.82994789161505,RIDER AVENUE,ARGONNE DRIVE,True,True,1,477441937,-76.17974524898251,43.02700097267869
SCOTT AVENUE,49.986804370963185,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477438594,-76.10806088717109,43.03920955818299
EAST COLVIN STREET,50.04959130337564,DEAD END / SAME-NAME BRANCH,MOORE AVENUE,False,True,1,477442076,-76.13725329860283,43.02633512282286
WENDELL TERRACE,50.23378059326277,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477430673,-76.13036792777702,43.06476526852648
EAST GLEN AVENUE,50.34459930370318,STEVENS AVENUE,OTTO STREET,True,True,1,477445302,-76.14035331504637,43.00551164079396
LANCASTER AVENUE,50.393170605608326,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477442389,-76.12181529724812,43.024720599633135
SCHOOL STREET,50.45662495327783,NORTH LOWELL AVENUE,RANN AVENUE,True,True,1,477433905,-76.1859163118641,43.053243646719885
ALMOND STREET,50.50206575755881,EAST GENESEE STREET,EAST GENESEE STREET,True,True,1,477741193,-76.14250206770396,43.04735298019131
CHURCHILL AVENUE,50.70535418331599,WALRATH ROAD,WALRATH ROAD,True,True,1,477444485,-76.13993077896382,43.010917110886965
HASTINGS PLACE,50.75182555173838,MELROSE AVENUE,MELROSE AVENUE,True,True,1,477430745,-76.11768625976578,43.064525162065245
GARFIELD AVENUE,50.781903617813796,GLASS TERRACE,EAST BORDEN AVENUE,True,True,1,477441594,-76.14214833042136,43.028417612126425
CUMBERLAND PLACE,50.849692899683575,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477440703,-76.11250670150268,43.032040943060046
CADILLAC STREET,51.41117660658116,KENWOOD AVENUE,KENWOOD AVENUE,True,True,1,477427797,-76.15047082589143,43.07908764512896
FOBES AVENUE,51.86158577345201,COUGHLIN AVENUE,BEACON ROAD,True,True,1,477428963,-76.11161123871302,43.073466604699036
HIGHLAND STREET,52.09990056799938,BEECHER STREET,SOUTH ALVORD STREET,True,True,1,477431731,-76.1413207745466,43.060334091430576
SOUTH SALINA STREET,52.186404398752,WEST KENNEDY STREET,EAST KENNEDY STREET,True,True,1,477441093,-76.14768084807197,43.030601107821916
EAST GLEN AVENUE,52.226039210180964,DEAD END / SAME-NAME BRANCH,LORETTO ROUNDABOUT,False,True,1,800100247,-76.136594065553,43.009082141515215
WEST COLVIN STREET,52.26587072184295,STRATHMORE DRIVE,STRATHMORE DRIVE,True,True,1,477442737,-76.16932836489379,43.02273845451412
