name,component,length_ft,full_component_ft,outside_city_ft,wholly_inside,source_segments,source_ids,lon,lat,components_in_city
ROCKFORD DRIVE,1,333.1074768529088,333.1074768529088,0.0,True,1,477438397,-76.10119076415101,43.03965909988218,1
DAISY STREET,1,333.8922831266968,333.8922831266968,0.0,True,1,477439778,-76.15828379602162,43.03534711509824,1
BURTEN STREET,1,334.6468608806156,334.6468608806156,0.0,True,1,477443300,-76.13438489588766,43.02043305335708,1
LORETTO ROUNDABOUT,1,336.47530902436836,336.47530902436836,0.0,True,5,800100173;800100174;800100176;800100182;800100183,-76.13635435251608,43.00897012502201,1
MEADOWBROOK DRIVE,3,336.5075109013112,336.5075109013112,0.0,True,1,477442388,-76.12118174597688,43.024687096734844,3
MARKET STREET,1,336.9585304061458,336.9585304061458,0.0,True,2,477435376;800066624,-76.14885783554169,43.04999596878102,1
OAK PLACE,1,337.62935610090193,337.62935610090193,0.0,True,1,477432821,-76.13274177274553,43.05642513447497,1
LARNED STREET,1,338.35179561318415,338.35179561318415,0.0,True,1,477438062,-76.15409825892215,43.040909390234255,1
THIRD AVENUE,1,338.3681027942431,338.3681027942431,0.0,True,1,477429633,-76.14267028096744,43.069610371765414,1
GALE AVENUE,1,339.3211796975703,339.3211796975703,0.0,True,1,477432895,-76.11497030503487,43.05667860345601,1
GRASSMAN AVENUE,1,340.5993647734792,340.5993647734792,0.0,True,1,477430325,-76.14389447390774,43.0665917431734,1
ROCKWOOD ROAD,1,341.9130024515637,341.9130024515637,0.0,True,1,477442618,-76.19959575499581,43.02361106481876,1
EAST BRIGHTON AVENUE AVENUE NORTHBOUND,1,343.08153163253763,343.08153163253763,0.0,True,1,477444818,-76.13203208190666,43.00851315742518,1
COYKENDALL AVENUE,1,344.21358799183315,344.21358799183315,0.0,True,1,477432869,-76.19646832624024,43.056712155337856,1
EASTMAN AVENUE,1,344.9919122892224,344.9919122892224,0.0,True,1,477442910,-76.15993379442274,43.021812130666206,1
JOHN STREET,2,345.0020364305923,345.0020364305923,0.0,True,1,477430032,-76.14448479663689,43.06811713721957,2
GRANGER STREET,1,345.3983539780376,345.3983539780376,0.0,True,2,477436932;477437044,-76.15670259514133,43.04446653471273,2
WEST SCOTT AVENUE,1,345.86273760793176,345.86273760793176,0.0,True,1,477437961,-76.11012121458653,43.04145635501511,1
BROWN STREET,1,346.5965693573749,346.5965693573749,0.0,True,1,509997546,-76.14621373354785,43.051804523076484,1
TEMPLE STREET,2,348.4220061056181,348.4220061056181,0.0,True,1,513530914,-76.15133170895234,43.04058154940538,2
