name,id,length_ft,fcc,wholly_inside,lon,lat
COURT STREET,477428350,27.325516319147216,A31,True,-76.15038982835387,43.07632113603572
HIAWATHA BOULEVARD WEST,800036192,27.629732901167976,A33,True,-76.18511365319999,43.055557641915904
EAST GENESEE STREET,508421384,27.655903074338,A37,True,-76.142430054233,43.047415310651274
LINCOLN PARK DRIVE,477432390,27.65594103287739,A41,True,-76.12907776354884,43.05793562500051
SUMMIT AVENUE,477442718,27.739485408327955,A41,True,-76.16567785685785,43.02281760640432
VALLEY DRIVE,477443977,27.793525469581176,A31,True,-76.15907430660985,43.01436412422294
RONEY LANE,800054387,27.90591119043994,A41,True,-76.13592166080257,43.02055154696396
EAST GENESEE STREET,477741202,28.122139701953245,A37,True,-76.14253361468,43.0474246821278
LEMOYNE AVENUE,800051976,28.4070572481686,A41,True,-76.15655080449586,43.07874145641498
WEST KIRKPATRICK STREET,800030682,28.421518172865458,A41,True,-76.16427291534285,43.05936621431696
HARBORSIDE DRIVE,477428808,28.477996179402062,A43,True,-76.17173231683815,43.07421359936308
CRADDOCK STREET,477443431,28.517896969548907,A41,True,-76.16264970115859,43.01842215216328
SOUTH MIDLER AVENUE,800066481,28.791756149817523,A31,True,-76.10408438700969,43.053563084109385
ALMOND STREET,477434994,28.813390664169543,A41,True,-76.14211677756165,43.05077611358553
PEAT STREET,477434834,28.898894732851044,A41,True,-76.11503420307997,43.05107674241539
HIAWATHA BOULEVARD WEST,508421456,28.899241051807312,A35,True,-76.16827789751522,43.069316443112434
ARDMORE ROAD,477437739,28.95678924333302,A41,True,-76.19886995981841,43.04178297477472
SLOCUM AVENUE,800030980,28.963947758482355,A41,True,-76.16046609566843,43.0402063516596
COURT STREET,477428361,29.027654673164083,A31,True,-76.15048129706382,43.076282621168545
TALLMAN STREET,800051060,29.067660698740333,A41,True,-76.15403807356175,43.03640671875446
DORWIN AVENUE,800049312,29.206551868784306,A41,True,-76.14959479101933,42.9851512321358
WEST BRIGHTON AVENUE,477443321,29.211018463055467,A31,True,-76.15443642609237,43.019299135511496
CAMP AVENUE,800037981,29.367171614287734,A41,True,-76.15801585496376,43.00788197355344
STRATHMORE DRIVE,800050899,29.389569908893215,A45,True,-76.16927500008349,43.02268016621375
WEST GENESEE STREET,800030722,29.39423555872909,A21,True,-76.15662950966934,43.05264026855638
HARBORSIDE DRIVE,477428815,29.515381330385424,A43,True,-76.1718183579263,43.07416508246839
SOUTH MIDLER AVENUE,477433176,29.5272444999528,A31,True,-76.10391208025602,43.05530490984977
TALLMAN STREET,800071038,29.574167227192877,A41,True,-76.15207252468213,43.036414727922136
EAST GENESEE STREET,477436059,29.63124546029986,A37,True,-76.14271885407551,43.04742315655996
ELMHURST AVENUE,477443043,29.78733586446017,A41,True,-76.15517856835692,43.02095104357252
VELASKO ROAD,600063424,29.79022293240436,A31,True,-76.18787380593646,43.03472860543965
MONTROSE AVENUE,477437702,29.81657171039623,A41,True,-76.19650119584044,43.041900733840194
WEST SENECA TURNPIKE,800050903,30.21936351404758,A31,True,-76.15977658209393,43.003506233083584
ERIE BOULEVARD EAST,800036365,30.227813428861356,A25,True,-76.14480182442816,43.05076451491938
NORTH STATE STREET,477434385,30.29982082259856,A27,True,-76.14790376502894,43.051945078447254
SOUTH MCBRIDE STREET,800037263,30.44562485882362,A43,True,-76.14382173640047,43.038760892814345
SOUTH AVENUE,800047557,30.664300202240366,A31,True,-76.15827203337861,43.02749569293693
BROOKFORD ROAD,477439939,30.846041652124995,A41,True,-76.09726597279943,43.03472800858777
BRUCE STREET,800065989,30.8687579553104,A41,True,-76.11258922063014,43.051871827651624
WEST TAYLOR STREET,800040234,30.988029774003863,A41,True,-76.15535719296825,43.03845793124637
SOUTH SALINA STREET,509994533,31.106753853542422,A21,True,-76.14117874730549,43.016257076729836
PEAT STREET,477434767,31.11053577864168,A41,True,-76.11506380256706,43.05120560206675
WEST WATER STREET,800030713,31.17146921714121,A41,True,-76.15554431832629,43.05056794369183
ERIE BOULEVARD EAST,800066576,31.184849688182833,A25,True,-76.1216492674896,43.04953940123519
PARK STREET,477454197,31.228266037813025,A35,True,-76.17333435251611,43.076568378247245
EAST SENECA TURNPIKE,800031581,31.32801119879176,A31,True,-76.12816343413239,43.00021366904405
CORTLAND AVENUE,477440157,31.352647479314914,A31,True,-76.1519767975249,43.03397859382879
ERIE BOULEVARD EAST,800066593,31.397715307509298,A21,True,-76.12756644509471,43.05040879227395
ERIE BOULEVARD WEST,477435006,31.437757344030185,A31,True,-76.15553710350352,43.05095373633251
EAST WILLOW STREET,477434037,31.48490636240943,A41,True,-76.14994570445432,43.05279001032888
WEST WATER STREET,477435059,31.49655358072598,A41,True,-76.15542742190078,43.050571974266234
IVES AVENUE,800066497,31.506442414723637,A41,True,-76.11609198728543,43.05077608076476
HIAWATHA BOULEVARD WEST,508421432,31.526274263937545,A35,True,-76.16839071424008,43.06942590230723
SCOTT AVENUE,477437620,31.740082324977642,A41,True,-76.1093613268112,43.04228507786248
EAST ADAMS STREET,507666605,31.81329698843097,A30,True,-76.14221279264258,43.04271361444138
GLENCOVE ROAD,477430911,31.82261798158305,A41,True,-76.11092977046201,43.06385814140158
TEMPLE STREET,800040282,31.850321005126595,A41,True,-76.15521583272982,43.03969945049408
THOMPSON ROAD,509997119,31.921956621450175,A31,True,-76.08316393557722,43.055541300368354
HIAWATHA BOULEVARD WEST,800036176,32.04262189669639,A33,True,-76.18519007962406,43.055497945018296
DEVINE STREET,800066350,32.16797311688217,A41,True,-76.1189608492214,43.04994140976202
EAST GENESEE STREET,477437976,32.18794565329531,A31,True,-76.08439979237512,43.04111511842343
SOUTH CLINTON STREET,800066614,32.26603632277605,A40,True,-76.15354228796396,43.05050630670456
WEST COURT STREET,477430667,32.42266230489086,A31,True,-76.16044283201497,43.06481213989836
HIAWATHA BOULEVARD WEST,508421434,32.56088626951174,A35,True,-76.16832175192403,43.06949784392782
NORTH STATE STREET,477434362,32.638212639970696,A27,True,-76.14814927549234,43.05201060231839
SUNNYCREST ROAD,477431443,32.64196552150304,A41,True,-76.11073229650809,43.061590109300475
BURT STREET,800034761,32.81199252706643,A43,True,-76.14320324408642,43.03843507620332
NORTHCLIFFE ROAD,477430394,32.92174402107814,A41,True,-76.11113778075651,43.06613061726633
TERRACE ROAD,477440715,32.97632773856629,A41,True,-76.12664537192744,43.03196367528771
RAMSEY AVENUE,477437719,32.98660172676129,A41,True,-76.10797026582665,43.04187113677112
RONEY LANE,477443104,32.996161281651894,A41,True,-76.1358159557374,43.02055594844586
SOUTH SALINA STREET,509994537,33.06786954120225,A21,True,-76.14123176048192,43.01665461111553
FORDLAND AVENUE,477428291,33.09273463062313,A41,True,-76.15122528986981,43.07668112138477
MIDLAND AVENUE,800052180,33.33623885709663,A31,True,-76.14697498070066,43.002296452061046
YALE AVENUE,800049430,33.35334947171435,A41,True,-76.18822112339157,43.03777751174762
TURTLE STREET,477428268,33.45029233679674,A41,True,-76.15403678763965,43.07678814257157
LOMBARD AVENUE,800066447,33.470472546568075,A41,True,-76.1199804815336,43.04963897405439
LAKEVIEW ROAD,477437773,33.59264455039129,A41,True,-76.2013121866748,43.04168955047578
FAY ROAD,477437745,33.63312734141551,A31,True,-76.19914751994749,43.041770678779166
COLUMBUS AVENUE,477435481,33.76040961275416,A31,True,-76.1215250133979,43.04932566754114
WESTMONT ROAD,477437814,33.78361823091727,A41,True,-76.20258592902708,43.04164429415395
BEATTIE STREET,800065997,33.78963386870786,A41,True,-76.10867073882635,43.05303409320856
HAZELWOOD AVENUE,477434429,33.794415123164654,A41,True,-76.09525428284137,43.051833117253736
CORTLAND AVENUE,800067175,33.88002436575995,A31,True,-76.15064716424426,43.036435899196285
SOUTH SALINA STREET,800066542,33.967763848839496,A31,True,-76.15218542090582,43.05050503779293
VAN RENSSELAER STREET,800066604,34.11481198362205,A41,True,-76.17442938761783,43.06379146261674
WEST STREET ARTERIAL NORTHBOUND,800037119,34.122547461831005,A37,True,-76.15841090889056,43.04799606562668
NBT BANK PARKWAY,477428696,34.145559465237696,A41,True,-76.17090047060421,43.074698916470304
CADILLAC STREET,477428201,34.324404306087445,A41,True,-76.15222531510663,43.07708761960058
BEAR STREET,800051912,34.48595721875455,A31,True,-76.16367917634028,43.06648770627476
HIAWATHA BOULEVARD WEST,508421459,34.730687069796616,A35,True,-76.16821113428065,43.06938872216864
DEWITT ROAD,800053108,34.768989221991774,A41,True,-76.07955058834533,43.0369439621039
SOUTH STATE STREET,477441640,34.77408850512365,A41,True,-76.14444862840274,43.02819938146963
VALLEY DRIVE,477444483,34.83001303551256,A31,True,-76.15723624932873,43.010894616741275
NORTH FRANKLIN STREET,477433341,35.03239545774453,A41,True,-76.15512031662863,43.05512646119063
SEYMOUR STREET,477437497,35.250598109983436,A40,True,-76.15776060631198,43.04256778499845
NORTH STATE STREET,800036403,35.25065283958222,A23,True,-76.14737532524114,43.051027926571784
NORTH GEDDES STREET,800051096,35.446485678496394,A31,True,-76.17045422797099,43.0555122540265
HARBORSIDE DRIVE,477428710,35.60046517161283,A41,True,-76.17100181449435,43.07463858694378
LISTMAN AVENUE,800039831,35.634542274215754,A41,True,-76.13817477920684,43.07464488307882
HARRISON STREET,477436939,35.797400115528944,A40,True,-76.14517026349785,43.044287630331034
MIDLAND AVENUE,800040326,35.994396639009864,A31,True,-76.14698376442693,43.00239137078993
DICKERSON STREET,477436897,36.00990689504306,A41,True,-76.15394060949795,43.04437583646698
JAMES STREET,477430231,36.01775751717603,A31,True,-76.1188752353235,43.066879121788475
MONTROSE AVENUE,800049097,36.09435190166385,A41,False,-76.1965068183927,43.041991056982745
GIFFORD STREET,477437213,36.117915642146684,A41,True,-76.15794964149228,43.04346528139691
NORTH CLINTON STREET,800042024,36.13213184335704,A40,True,-76.153449954178,43.054275060499066
EAST GENESEE STREET,477436091,36.29821847534032,A37,True,-76.14271826160186,43.047383972957476
EAST CATHROP AVENUE,509994543,36.301374210988655,A31,True,-76.13945381219669,43.01673059000567
SOUTH SALINA STREET,800049634,36.434061109504746,A21,True,-76.14298166339651,42.99885504535517
MAINS AVENUE,800041305,36.5572944246047,A41,True,-76.15664569057006,43.005289819650386
PEAT STREET,477434733,36.639326558765326,A41,True,-76.11508627257383,43.05129709769265
MOUNTAINVIEW AVENUE,477434852,36.707145137999795,A41,True,-76.09518676950741,43.050982125440065
ENFIELD PLACE,477438138,36.82661689509971,A41,True,-76.09196856814832,43.040558319397995
WEST COLVIN STREET,477442633,36.97300741264113,A30,True,-76.15464955633942,43.02329118467147
EAST GENESEE STREET,508421394,37.31776314634072,A37,True,-76.14242870493968,43.04723247539665
HADDON ROAD,477438221,37.41100075717708,A41,True,-76.08874101736193,43.04041957896958
FARMER STREET,477430712,37.480992916646805,A41,True,-76.13031723717994,43.06459106685028
NORTH FRANKLIN STREET,477433513,37.555928096670705,A31,True,-76.15481684778298,43.05435109748622
CIRCLE ROAD,477441100,37.6440214957752,A41,True,-76.12787277824701,43.03057508837451
ALMOND STREET,477741247,37.730791643333184,A47,True,-76.1423663039649,43.047672181449464
COURT STREET,477430642,37.90827585783549,A31,True,-76.16044133632035,43.06490864208957
AUDUBON PARKWAY,800029908,37.976516071988605,A45,True,-76.094974402823,43.04937227180654
DORSET ROAD,477440406,37.982753433412846,A41,True,-76.12766583662987,43.033115577560615
WILMORE PLACE,800049091,37.982846966305424,A41,False,-76.1384143051213,43.08152607074048
FABIUS STREET,477436771,38.10916493930617,A41,True,-76.15821787934523,43.0447729721243
SOUTH SALINA STREET,477447265,38.14068985495446,A21,True,-76.14379075305162,42.98611259841833
INTREPID LANE,800031668,38.54357132271084,A41,True,-76.12755377841124,43.0030784825159
SOUTH AVENUE,477441046,38.598553407475414,A41,True,-76.15870715167806,43.03079054936602
FAY ROAD,800049096,38.77228832786438,A31,False,-76.19909990616149,43.04186346591463
MEADOWBROOK DRIVE,477438199,38.88166447575897,A35,True,-76.10629081152108,43.040434127966066
MEADOWBROOK DRIVE,477438134,38.88191885774841,A35,True,-76.10635880635243,43.040556117818824
SOUTH AVENUE,477441548,38.9990710400388,A41,True,-76.15791578216137,43.028600126864895
STOLP AVENUE,477441227,39.095850365054964,A41,True,-76.17956130924858,43.029916107034886
WILLIS AVENUE,800030519,39.22297748113677,A41,True,-76.19949309992026,43.062758935876445
BRATTLE ROAD,477431031,39.23038745566869,A41,True,-76.12971728176083,43.06333760439442
ARNETT AVENUE,477429582,39.33990746617943,A41,True,-76.11206577862413,43.06992764460517
SMITH STREET,477453879,39.37862564696542,A41,True,-76.09087981348947,43.055230621686036
EAST WILLOW STREET,477434117,39.447122717755086,A41,True,-76.1504867723107,43.05251463069607
SOUTH FRANKLIN STREET,477435051,39.44953526447372,A41,True,-76.15547898340185,43.050900492003755
DICKERSON STREET,477436889,39.5158963779513,A43,True,-76.15379950303169,43.04438125301904
BEAUMONT PLACE,477436763,39.543315455969136,A41,True,-76.08761027465255,43.04480160732663
FABIUS STREET,477437002,39.78945013148929,A41,True,-76.16073482178287,43.04414609114577
WEST BEAR STREET,800066360,39.84918067643707,A31,True,-76.17013545453771,43.061241949325975
