FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2
27115,74277,"Crabapple, Spp.",Malus spp.,7,Near Westside,To Be Determined,40,Yes,603,Oswego St,932340.329436018,1108638.711707,43.0419344142,-76.163871978,-8478523.70149353,5318358.18435821
27116,73867,"Maple, Red",Acer rubrum,4,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931310.612608,1109973.03553,43.0456095010503,-76.1676991102755,-8478949.7360805,5318917.96916746
27117,74670,"Crabapple, Spp.",Malus spp.,12,Near Westside,To Be Determined,39,Yes,105,Merriman Ave,932803.87903001,1108022.42681598,43.0402371223,-76.1621495524,-8478331.96187498,5318099.6662111
27118,75503,"Maple, Norway",Acer platanoides,7,Elmwood,To Be Determined,51,Yes,135,Parkway Dr,933202.000661,1102264.861221,43.0244343668921,-76.160768739988,-8478178.25036213,5315693.05798864
27119,74278,"Cherry, Ornamental",Prunus spp.,5,Near Westside,To Be Determined,40,Yes,603,Oswego St,932338.230600008,1108661.798911,43.0419977882,-76.1638793975,-8478524.52743454,5318367.83712396
27120,73868,"Maple, Red",Acer rubrum,3,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931283.77693,1109963.674247,43.045584180703,-76.1677996734702,-8478960.93072752,5318914.1122871
27121,73869,"Maple, Red",Acer rubrum,4,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931254.912973,1109952.596728,43.0455541789101,-76.1679078559589,-8478972.97355072,5318909.54231535
27122,75504,"Maple, Norway",Acer platanoides,12,Elmwood,To Be Determined,51,Yes,135,Parkway Dr,933206.530644,1102265.444107,43.0244359036348,-76.1607517886046,-8478176.36334217,5315693.29198981
27123,74279,"Oak, Chinkapin",Quercus muelenbergii,7,Near Westside,Fall 2012,40,Yes,355,Seymour St,932450.644296195,1108748.43259271,43.0422339462,-76.1634572721,-8478477.53662859,5318403.80746641
27124,75505,"Maple, Hedge",Acer campestre,1,Elmwood,Fall 2019,51,Yes,115,Temple Pl,933467.188564325,1102307.37420743,43.0245473458513,-76.1597762362468,-8478067.76531631,5315710.26140876
27125,74671,"Crabapple, Spp.",Malus spp.,6,Near Westside,To Be Determined,39,Yes,105,Merriman Ave,932757.060306995,1107979.86434099,43.0401209864,-76.16232548,-8478351.5460553,5318081.97756934
27126,73870,"Maple, Red",Acer rubrum,6,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931197.185061,1109936.058461,43.045509585956,-76.168124116678,-8478997.04759125,5318902.74977374
27127,74280,"Oak, Red",Quercus rubra,9,Near Westside,To Be Determined,40,Yes,351,Seymour St,932523.206323664,1108753.42677649,43.0422466528,-76.1631857456,-8478447.31043693,5318405.74286991
27128,74281,Stump,Stump,6,Near Westside,To Be Determined,40,Yes,349,Seymour St,932563.855542994,1108752.04888799,43.0422423139,-76.1630337148,-8478430.38643689,5318405.08199317
27129,74672,"Hawthorn, Spp.",Crataegus spp.,17,Near Westside,To Be Determined,39,Yes,120,Kellogg St,932674.772854002,1107901.83313499,43.0399080211,-76.162634745,-8478385.97328565,5318049.54094201
27130,73871,"Maple, Red",Acer rubrum,5,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931170.661425,1109926.073093,43.0454825486745,-76.1682235237645,-8479008.11354085,5318898.631371
27131,74673,"Maple, Hedge",Acer campestre,27,Near Westside,To Be Determined,39,Yes,204,Kellogg St,932482.142656015,1107697.46326099,43.0393499302,-76.1633591143,-8478466.60973255,5317964.53893559
27132,75506,"Spruce, Norway",Picea abies,24,Elmwood,To Be Determined,51,Yes,117,Parkway Dr,933425.964946,1102207.426733,43.0242736859929,-76.1599322817679,-8478085.13622757,5315668.59101437
27133,74282,"honeylocust, thornless",Gleditsia triacanthos inermis,20,Near Westside,To Be Determined,40,Yes,347,Seymour St,932605.832276002,1108761.493653,43.0422676510888,-76.1628765154,-8478412.88707238,5318408.94122688
27134,73872,"Maple, Red",Acer rubrum,8,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931141.641447,1109916.399767,43.0454564013312,-76.1683322635586,-8479020.21840305,5318894.64852807
27135,73873,"Maple, Red",Acer rubrum,24,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931108.876957,1109902.045799,43.0454174622156,-76.1684550976448,-8479033.89223508,5318888.71720685
27136,75507,"Spruce, Norway",Picea abies,19,Elmwood,To Be Determined,51,Yes,117,Parkway Dr,933402.156929,1102202.344123,43.0242600699481,-76.1600214102735,-8478095.05797053,5315666.51769323
27137,74283,"honeylocust, thornless",Gleditsia triacanthos inermis,23,Near Westside,To Be Determined,40,Yes,345,Seymour St,932637.314826993,1108755.197143,43.0422499424,-76.1627588665,-8478399.79045389,5318406.2439288
27138,74674,Needs Approval,Planting Site - Needs Approval,0,Near Westside,N/A,39,Yes,206,Kellogg St,932420.1339,1107636.582,43.0391837388984,-76.1635921983728,-8478492.55653709,5317939.22673045
27139,75508,"Maple, Norway",Acer platanoides,15,Elmwood,To Be Determined,51,Yes,132,Temple Pl,933237.649773,1102140.588088,43.0240929009119,-76.1606377652325,-8478163.67031147,5315641.06283101
27140,73874,"elm, hybrid",Ulmus x,4,Near Westside,Spring 2012,30,Yes,1005,Fayette St W,931000.643449593,1109868.61693408,43.0453272092714,-76.1688606056321,-8479079.03319156,5318874.96962524
27141,74284,"honeylocust, thornless",Gleditsia triacanthos inermis,24,Near Westside,To Be Determined,40,Yes,343,Seymour St,932700.279926991,1108766.74074499,43.0422807492,-76.1625231163,-8478373.54685649,5318410.93626951
27142,74285,"Hackberry, Common",Celtis occidentalis,26,Near Westside,To Be Determined,40,Yes,337,Seymour St,932730.713059005,1108765.69132699,43.0422774512,-76.1624092947,-8478360.87628282,5318410.43393941
27143,75509,Needs Approval,Planting Site - Needs Approval,0,Elmwood,N/A,51,Yes,138,Bissell St W,933368.6899,1102853.597,43.0260474037018,-76.1601342896618,-8478107.6236656,5315938.67964885
27144,73875,"elm, hybrid",Ulmus x,4,Near Westside,Spring 2012,30,Yes,1007,Fayette St W,930963.716179148,1109856.85255838,43.0452954311253,-76.1689989638162,-8479094.43515887,5318870.12909372
27145,75510,Needs Approval,Planting Site - Needs Approval,0,Elmwood,N/A,51,Yes,138,Bissell St W,933357.5197,1102813.053,43.0259363158337,-76.1601768271457,-8478112.35891724,5315921.76377921
27146,74675,"Maple, Paperbark",Acer griseum,11,Near Westside,To Be Determined,39,Yes,206,Kellogg St,932386.827463622,1107611.73506197,43.0391160222579,-76.1637172462167,-8478506.47680333,5317928.91298905
